,Name,Date Unblocked,Website,Archived Block Message[0],Archived Block Message[1],Block Message Screenshot,Website Archives[0],Website Archives[1],URL Country
20,AM New York,,https://www.amny.com,https://web.archive.org/web/20180809203128/https://projects.newsday.com/gdpr/,https://webrecorder.io/verifiedjoseph/451-unavailable-due-to-legal-reasons-gdpr/list/other/b6/20180716213104/https://projects.newsday.com/gdpr/,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-amny-com.png,,,"US
"
21,Amarillo Globe-News,2018-11-01,https://www.amarillo.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-amarillo-com.png,https://web.archive.org/web/2/https://www.amarillo.com/,,
22,"American Media, Inc.",,https://www.americanmediainc.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-americanmediainc-com.png,https://web.archive.org/web/2/https://www.americanmediainc.com/,,
23,American Military News,,http://americanmilitarynews.com,https://archive.fo/CN9zx,,https://data.verifiedjoseph.com/files/gdpr-screenshots/americanmilitarynews-com.png,https://web.archive.org/web/2/https://americanmilitarynews.com,https://wayback.archive-it.org/all/2/http://americanmilitarynews.com/,"US
"
24,"American Press (Lake Charles, Louisiana)",,https://www.americanpress.com,https://archive.is/eQRey,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-americanpress-com.png,https://web.archive.org/web/2/http://www.americanpress.com/,,
25,Ames Tribune,2018-08-23,http://www.amestrib.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-amestrib-com.png,https://web.archive.org/web/2/http://www.amestrib.com,,"US
"
26,Anchorage Daily News,,https://www.adn.com,https://archive.fo/1qcXd,https://web.archive.org/web/20180729175010/https://www.adn.com/redirect-gdpr/?outputType=noscript,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-adn-com.png,https://web.archive.org/web/2/https://www.adn.com,,"US
"
27,Anchorage Press,,https://www.anchoragepress.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-anchoragepress-com.png,,,"us
"
28,"Andover Townsman (Andover, MA)",,https://www.andovertownsman.com,https://archive.fo/Vi6rW,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-andovertownsman-com.png,,,"US
"
29,APG Media of Wisconsin,,http://www.apg-wi.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-apg-wi-com.png,https://web.archive.org/web/2/http://www.apg-wi.com/,,
30,APG West,,https://www.apgwest.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-apgwest-com.png,,,"US
"
31,"Appeal-Democrat (Marysville, California)",,https://www.appeal-democrat.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-appeal-democrat-com.png,,,
32,"Appen Media Group (Alpharetta, Georgia)",,https://www.northfulton.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-northfulton-com.png,https://web.archive.org/web/2/https://www.northfulton.com,,
33,"Argus-Press (Owosso, Michigan)",,https://www.argus-press.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-argus-press-com.png,https://web.archive.org/web/2/https://www.argus-press.com/,,
34,Arizona Daily Star,,https://tucson.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/tucson-com.png,https://web.archive.org/web/2/https://tucson.com/,,"US
"
35,Arizona Daily Sun,,https://azdailysun.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/azdailysun-com.png,https://web.archive.org/web/2/https://azdailysun.com/,,
36,Arizona Range News,,https://www.willcoxrangenews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-willcoxrangenews-com.png,,,
37,Arlington Advocate,,http://arlington.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/arlington-wickedlocal-com.png,https://web.archive.org/web/2/http://arlington.wickedlocal.com,,"US
"
38,Ashe Post & Times,,https://www.ashepostandtimes.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-ashepostandtimes-com.png,,,
39,"Ashley County Ledger (Hamburg, Arkansas)",,http://www.ashleycountyledger.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-ashleycountyledger-com.png,https://web.archive.org/web/2/http://www.ashleycountyledger.com,,
40,Aspen Daily News,2018-09-17,https://www.aspendailynews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-aspendailynews-com.png,,,
41,Atchison Globe Now,,http://www.atchisonglobenow.com,https://archive.fo/2zXMw,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-atchisonglobenow-com.png,https://web.archive.org/web/2/http://www.atchisonglobenow.com/,,"US
"
42,Athens Banner-Herald,2018-08-21,https://www.onlineathens.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-onlineathens-com.png,https://web.archive.org/web/2/https://www.onlineathens.com,,"US
"
43,"Athens Daily Review (Athens, TX)",,https://www.athensreview.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-athensreview-com.png,,,"US
"
44,"Atlantic City Weekly (Pleasantville, New Jersey)",,https://www.atlanticcityweekly.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-atlanticcityweekly-com.png,https://web.archive.org/web/2/https://www.atlanticcityweekly.com,,"US
"
45,"Auburn Journal (Auburn, California)",,http://www.auburnjournal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/auburnjournal-com.png,https://web.archive.org/web/2/http://auburnjournal.com,,"US
"
46,Augusta Daily Gazette,2018-08-23,http://www.augustagazette.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-augustagazette-com.png,https://web.archive.org/web/2/http://www.butlercountytimesgazette.com/,,"US
"
47,Aurora Advertiser,2018-08-27,http://www.auroraadvertiser.net,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-auroraadvertiser-net.png,https://web.archive.org/web/2/http://www.auroraadvertiser.net,,
48,AutoWeb,,https://www.autoweb.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-autoweb-com.png,https://web.archive.org/web/2https://www.autoweb.com,,"US
"
49,"Avery Journal-Times ()Avery County, North Carolina)",,https://www.averyjournal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-averyjournal-com.png,,,
50,Bakersfield.com,,https://www.bakersfield.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bakersfield-com.png,https://web.archive.org/web/2/https://www.bakersfield.com/,,"US
"
51,Baltimore City Paper,,https://www.citypaper.com,https://archive.fo/YQiCn,https://web.archive.org/web/20180711011102/http://www.tronc.com/gdpr/citypaper.com/,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-citypaper-com.png,https://web.archive.org/web/2/http://www.citypaper.com/,,"US
"
52,Baltimore Sun,,https://www.baltimoresun.com,https://archive.fo/txDfv,https://www.webcitation.org/716OdpbD7,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-baltimoresun-com.png,https://web.archive.org/web/2/http://www.baltimoresun.com/,,
53,Bangor Daily News,,https://www.bangordailynews.com,https://archive.is/OEpOq,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bangordailynews-com.png,https://web.archive.org/web/2/https://www.bangordailynews.com/,https://wayback.archive-it.org/all/2/https://bangordailynews.com/,
54,Barnesville Enterprise,2018-10-01,http://www.barnesville-enterprise.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-barnesville-enterprise-com.png,https://web.archive.org/web/2/http://www.barnesville-enterprise.com,,
55,Bartlesville Examiner-Express,2018-08-27,https://www.examiner-enterprise.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-examiner-enterprise-com.png,https://web.archive.org/web/2/http://www.examiner-enterprise.com,,
56,BaseballHQ.com,,https://www.baseballhq.com,https://archive.is/7Yfdq,https://web.archive.org/web/20180726165544/http://eu-message.usatoday.com/,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-baseballhq-com.png,https://web.archive.org/web/2/https://www.baseballhq.com/,,
57,Bastrop Daily Enterprise,,http://www.bastropenterprise.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bastropenterprise-com.png,https://web.archive.org/web/2/http://www.bastropenterprise.com,,
58,"Batesville Herald-Tribune (Batesville, IN)",,https://www.batesvilleheraldtribune.com,https://archive.fo/3x4Wk,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-batesvilleheraldtribune-com.png,,,"US
"
59,Bay City Tribune,,http://baycitytribune.com,https://archive.fo/mVrhw,,https://data.verifiedjoseph.com/files/gdpr-screenshots/baycitytribune-com.png,,,
60,bctv.org,2018-11-13,https://www.bctv.org,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bctv-org.png,https://web.archive.org/web/2/http://www.bctv.org/,,"US
"
61,Beatrice Daily Sun,,https://beatricedailysun.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/beatricedailysun-com.png,https://web.archive.org/web/2/https://beatricedailysun.com/,,
62,Beauregard Daily News,,http://www.beauregarddailynews.net,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-beauregarddailynews-net.png,https://web.archive.org/web/2/http://www.beauregarddailynews.net,,
63,Beaver County Times,,http://www.timesonline.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-timesonline-com.png,https://web.archive.org/web/2/http://www.timesonline.com,,
64,Bedford Minuteman,,http://bedford.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/bedford-wickedlocal-com.png,https://web.archive.org/web/2/http://bedford.wickedlocal.com,,
65,"Belgrade News (Bozeman, Montana)",,http://www.belgrade-news.com,https://archive.fo/v0Fjp,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-belgrade-news-com.png,https://web.archive.org/web/2/http://www.belgrade-news.com/,,"US
"
66,Belmont Citizen-Herald,,http://belmont.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/belmont-wickedlocal-com.png,https://web.archive.org/web/2/http://belmont.wickedlocal.com,,
67,Bent County Democrat,2018-11-05,http://www.bcdemocratonline.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bcdemocratonline-com.png,https://web.archive.org/web/2/http://www.bcdemocratonline.com,,
68,Beverly Citizen,,http://beverly.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/beverly-wickedlocal-com.png,https://web.archive.org/web/2/http://beverly.wickedlocal.com,,
69,BG News (Bowling Green State Uni),,https://www.bgfalconmedia.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bgfalconmedia-com.png,https://web.archive.org/web/2/https://www.bgfalconmedia.com/,,"US
"
70,"Big Bear Grizzly (Big Bear Lake, California)",,http://www.bigbeargrizzly.net,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bigbeargrizzly-net.png,https://web.archive.org/web/2/http://www.bigbeargrizzly.net,,
71,Bill Oâ€™Reilly,,https://www.billoreilly.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-billoreilly-com.png,https://web.archive.org/web/2/https://www.billoreilly.com/,,
72,Billerica Minuteman,,http://billerica.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/billerica-wickedlocal-com.png,https://web.archive.org/web/2/http://billerica.wickedlocal.com,,
73,Billings Gazette,,https://billingsgazette.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/billingsgazette-com.png,https://web.archive.org/web/2/https://billingsgazette.com/,,
74,Black Fin,,https://goblackfin.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/goblackfin-com.png,https://web.archive.org/web/2/https://goblackfin.com/,,"US
"
75,"Black Hills Pioneer (Spearfish, South Dakota)",,http://www.bhpioneer.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bhpioneer-com.png,https://web.archive.org/web/2/http://www.bhpioneer.com/,,
76,"Bloomin' Brands, Inc",,https://www.bloominbrands.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bloominbrands-com.png,https://web.archive.org/web/2/https://www.bloominbrands.com/,,
77,BLOX CMS,,http://bloxcms.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/bloxcms-com.png,,,
78,Bluefield Daily Telegraph,,https://www.bdtonline.com,https://archive.fo/cDiYd,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bdtonline-com.png,https://web.archive.org/web/2/http://www.bdtonline.com/,,"US
"
79,Bluffton Today,2018-08-21,https://www.blufftontoday.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-blufftontoday-com.png,https://web.archive.org/web/2/https://www.blufftontoday.com,,
80,Boarâ€™s Head Resort,,https://www.boarsheadresort.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-boarsheadresort-com.png,https://web.archive.org/web/2/https://www.boarsheadresort.com/,,"US
"
81,"Bolivar Herald-Free Press (Bolivar, Missouri)",,http://bolivarmonews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/bolivarmonews-com.png,https://web.archive.org/web/2/http://bolivarmonews.com/,,"US
"
82,Bonefish Grill,,https://www.bonefishgrill.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bonefishgrill-com.png,http://web.archive.org/web/2/https://www.bonefishgrill.com/,,
83,Boone News-Republican,2018-08-23,http://www.newsrepublican.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-newsrepublican-com.png,https://web.archive.org/web/2/http://www.newsrepublican.com,,
84,Booneville Democrat,2018-09-04,http://www.boonevilledemocrat.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-boonevilledemocrat-com.png,https://web.archive.org/web/2/http://www.boonevilledemocrat.com,,
85,Boonville Daily News,2018-08-27,http://www.boonvilledailynews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-boonvilledailynews-com.png,https://web.archive.org/web/2/http://www.boonvilledailynews.com,,
86,Boston Homes,2018-09-05,http://www.linkbostonhomes.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-linkbostonhomes-com.png,https://web.archive.org/web/2/http://linkbostonhomes.com,,
87,Bourne Courier,,http://bourne.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/bourne-wickedlocal-com.png,https://web.archive.org/web/2/http://bourne.wickedlocal.com,,
88,"Bozeman Daily Chronicle (Bozeman, Montana)",,https://www.bozemandailychronicle.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bozemandailychronicle-com.png,https://web.archive.org/web/2/https://www.bozemandailychronicle.com/,,"US
"
89,Bradford Era,,http://www.bradfordera.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-bradfordera-com.png,,,
90,Braintree Forum,,http://braintree.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/braintree-wickedlocal-com.png,https://web.archive.org/web/2/http://braintree.wickedlocal.com,,
91,"Branson Tri-Lakes News (Hollister, Missouri)",,http://bransontrilakesnews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/bransontrilakesnews-com.png,https://web.archive.org/web/2/http://bransontrilakesnews.com/,,
92,Bridgewater Independent,,http://bridgewater.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/bridgewater-wickedlocal-com.png,https://web.archive.org/web/2/http://bridgewater.wickedlocal.com,,
93,"Bristol Herald Courier (Bristol, Virginia)",,https://www.heraldcourier.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-heraldcourier-com.png,https://web.archive.org/web/2/https://www.heraldcourier.com/,,"US
"
94,Brookline TAB,,http://brookline.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/brookline-wickedlocal-com.png,https://web.archive.org/web/2/http://brookline.wickedlocal.com,,
95,Brownwood Bulletin,2018-08-21,https://www.brownwoodtx.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-brownwoodtx-com.png,https://web.archive.org/web/2/https://www.brownwoodtx.com,,
96,BrylaneHome,,https://www.brylanehome.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-brylanehome-com.png,https://web.archive.org/web/2/https://www.brylanehome.com/,,"US
"
97,Bucks County Courier Times,,http://www.buckscountycouriertimes.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-buckscountycouriertimes-com.png,https://web.archive.org/web/2/http://www.buckscountycouriertimes.com,,
98,Bucks Local News,,http://www.buckslocalnews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-buckslocalnews-com.png,https://web.archive.org/web/2/http://www.buckslocalnews.com/,,"US
"
99,"Buffalo Bulletin (Buffalo, Wyoming)",,http://www.buffalobulletin.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-buffalobulletin-com.png,https://web.archive.org/web/2/http://boxford.wickedlocal.com,,
100,"Buffalo Reflex (Buffalo, Missouri)",,https://buffaloreflex.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/buffaloreflex-com.png,https://web.archive.org/web/2/https://buffaloreflex.com/,,"US
"
101,Burlington County Times,,http://www.burlingtoncountytimes.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-burlingtoncountytimes-com.png,https://web.archive.org/web/2/http://www.burlingtoncountytimes.com,,
102,Burlington Union,,http://burlington.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/burlington-wickedlocal-com.png,https://web.archive.org/web/2/http://burlington.wickedlocal.com,,
103,"Burnett County Sentinel (Grantsburg, Wisconsin)",,http://www.burnettcountysentinel.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-burnettcountysentinel-com.png,https://web.archive.org/web/2/http://www.burnettcountysentinel.com,,"US
"
104,Business Observer,,https://www.businessobserverfl.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-businessobserverfl-com.png,https://web.archive.org/web/2/https://www.businessobserverfl.com/,,"US
"
105,BusinessNorth.com,,http://www.businessnorth.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-businessnorth-com.png,https://web.archive.org/web/2/http://www.businessnorth.com,,
106,Butler County Times-Gazette,2018-08-23,http://www.butlercountytimesgazette.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-butlercountytimesgazette-com.png,https://web.archive.org/web/2/http://www.butlercountytimesgazette.com,,
107,"Cadillac Evening News (Cadillac, Michigan)",,https://www.cadillacnews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-cadillacnews-com.png,,,"US
"
108,"Calaveras Enterprise (San Andreas, California)",,http://www.calaverasenterprise.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-calaverasenterprise-com.png,https://web.archive.org/web/2/http://www.calaverasenterprise.com/,,
109,"Caledonian Record (St. Johnsbury, Vermont)",,https://www.caledonianrecord.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-caledonianrecord-com.png,https://web.archive.org/web/2/http://www.thenewsenterprise.com/,,
110,Cambridge Chronicle,,http://www.cambridgechron.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-cambridgechron-com.png,https://web.archive.org/web/2/http://www.cambridgechron.com,,
111,Cambridge Chronicle & TAB,,http://cambridge.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/cambridge-wickedlocal-com.png,https://web.archive.org/web/2/http://cambridge.wickedlocal.com,,
112,"Camp Lejeune Globe (Jacksonville, North Carolina)",,http://www.camplejeuneglobe.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-camplejeuneglobe-com.png,https://web.archive.org/web/2/http://www.camplejeuneglobe.com/,,
113,Canadian Cattlemen,,http://canadiancattlemen.ca,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/canadiancattlemen-ca.png,https://web.archive.org/web/2/https://www.canadiancattlemen.ca/,,"CA
"
114,Canton Journal,,http://canton.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/canton-wickedlocal-com.png,https://web.archive.org/web/2/http://canton.wickedlocal.com,,
115,Cape Ann Beacon,,http://gloucester.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/gloucester-wickedlocal-com.png,https://web.archive.org/web/2/http://gloucester.wickedlocal.com,,
116,Cape Cod Times,2018-09-05,https://www.capecodtimes.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-capecodtimes-com.png,https://web.archive.org/web/2/http://www.capecodtimes.com,,
117,Cape May County Herald (New Jersey),,https://www.capemaycountyherald.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-capemaycountyherald-com.png,,,
118,Capital Gazette,,https://www.capitalgazette.com,https://archive.fo/G72zy,https://web.archive.org/web/20180804160126/http://www.tronc.com/gdpr/capitalgazette.com/,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-capitalgazette-com.png,https://web.archive.org/web/2/http://www.capitalgazette.com/,,
119,"Capital Journal (Pierre, South Dakota)",,https://www.capjournal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-capjournal-com.png,https://web.archive.org/web/2/https://www.capjournal.com/,,"us
"
120,Car and Driver (Magazine),,http://www.caranddriver.com,https://archive.fo/1Ih03,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-caranddriver-com.png,https://web.archive.org/web/2/http://www.caranddriver.com/,,"US
"
121,Carbondale News,,http://www.thecarbondalenews.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-thecarbondalenews-com.png,https://web.archive.org/web/2/http://www.thecarbondalenews.com,,
122,"Carolina Coast Online (Morehead City, North Carolina)",,http://www.carolinacoastonline.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-carolinacoastonline-com.png,https://web.archive.org/web/2/http://www.carolinacoastonline.com/,,
123,Carrabba's Italian Grill,,https://www.carrabbas.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-carrabbas-com.png,https://web.archive.org/web/2/https://www.carrabbas.com/,,
124,"Carriage Towne News (Kingston, NH)",,https://www.carriagetownenews.com,https://archive.fo/RUyxY,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-carriagetownenews-com.png,,,"US
"
125,Carroll County Times,,https://www.carrollcountytimes.com,https://archive.fo/bMonU,https://web.archive.org/web/20180801145213/http://www.tronc.com/gdpr/carrollcountytimes.com/,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-carrollcountytimes-com.png,https://web.archive.org/web/2/http://www.carrollcountytimes.com/,https://wayback.archive-it.org/all/2/http://www.carrollcountytimes.com/,
126,Carver Reporter,,http://carver.wickedlocal.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/carver-wickedlocal-com.png,https://web.archive.org/web/2/http://carver.wickedlocal.com/,,
127,"Cascade Pioneer (Cascade, Iowa)",,http://www.cpioneer.com,https://archive.fo/E6Ue2,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-cpioneer-com.png,https://web.archive.org/web/2/http://www.cpioneer.com/,,"US
"
128,Casper Star-Tribune,,https://trib.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/trib-com.png,https://web.archive.org/web/2/https://trib.com/,,
129,CBS 4 Indianapolis,,https://cbs4indy.com,https://archive.fo/NMlOI,,https://data.verifiedjoseph.com/files/gdpr-screenshots/cbs4indy-com.png,https://web.archive.org/web/2/https://cbs4indy.com/,,
130,"Cecil Whig (Elkton, Maryland)",,https://www.cecildaily.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-cecildaily-com.png,https://web.archive.org/web/2/https://www.cecildaily.com/,,
131,"Cedar County Republican (Stockton, Missouri)",,http://cedarrepublican.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/cedarrepublican-com.png,https://web.archive.org/web/2/http://cedarrepublican.com/,,"US
"
132,Celebretainment,,https://www.celebretainment.com,,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-celebretainment-com.png,https://web.archive.org/web/2/https://www.celebretainment.com,,
133,Central Record - South Jersey,,http://www.southjerseylocalnews.com,https://archive.is/1Tddz,,https://data.verifiedjoseph.com/files/gdpr-screenshots/www-southjerseylocalnews-com.png,https://web.archive.org/web/2/http://www.southjerseylocalnews.com/,,"US
"
