,Country 1,Country 2,Overlap,Country 1 Domains,Country 2 Domains
141,Estonia,Russia,0,1361,5184
142,Finland,Russia,0,1361,5184
143,France,Russia,0,1361,5184
144,Germany,Russia,0,1361,5184
145,Greece,Russia,0,1361,5184
146,Hungary,Russia,0,1361,5184
147,Ireland,Russia,0,1361,5184
148,Italy,Russia,0,1361,5184
149,Latvia,Russia,0,1361,5184
150,Lithuania,Russia,0,1361,5184
151,Luxembourg,Russia,0,1361,5184
152,Malta,Russia,0,1361,5184
153,the Netherlands,Russia,0,1361,5184
154,Poland,Russia,0,1361,5184
155,Portugal,Russia,0,1361,5184
156,Romania,Russia,0,1361,5184
157,Slovakia,Russia,0,1361,5184
158,Slovenia,Russia,0,1361,5184
159,Spain,Russia,0,1361,5184
160,Sweden,Russia,0,1361,5184
161,UK,Russia,0,1361,5184
162,Iceland,Russia,0,1361,5184
163,Lichtenstein,Russia,0,1361,5184
164,Norway,Russia,0,1361,5184
165,Norway,Russia,0,1361,5184
166,Austria,Saudi Arabia,0,1361,1380
167,Belgium,Saudi Arabia,0,1361,1380
168,Bulgaria,Saudi Arabia,0,1361,1380
169,Croatia,Saudi Arabia,0,1361,1380
170,Cyprus,Saudi Arabia,0,1361,1380
171,Czech Republic,Saudi Arabia,0,1361,1380
172,Denmark,Saudi Arabia,0,1361,1380
173,Estonia,Saudi Arabia,0,1361,1380
174,Finland,Saudi Arabia,0,1361,1380
175,France,Saudi Arabia,0,1361,1380
176,Germany,Saudi Arabia,0,1361,1380
177,Greece,Saudi Arabia,0,1361,1380
178,Hungary,Saudi Arabia,0,1361,1380
179,Ireland,Saudi Arabia,0,1361,1380
180,Italy,Saudi Arabia,0,1361,1380
181,Latvia,Saudi Arabia,0,1361,1380
182,Lithuania,Saudi Arabia,0,1361,1380
183,Luxembourg,Saudi Arabia,0,1361,1380
184,Malta,Saudi Arabia,0,1361,1380
185,the Netherlands,Saudi Arabia,0,1361,1380
186,Poland,Saudi Arabia,0,1361,1380
187,Portugal,Saudi Arabia,0,1361,1380
188,Romania,Saudi Arabia,0,1361,1380
189,Slovakia,Saudi Arabia,0,1361,1380
190,Slovenia,Saudi Arabia,0,1361,1380
191,Spain,Saudi Arabia,0,1361,1380
192,Sweden,Saudi Arabia,0,1361,1380
193,UK,Saudi Arabia,0,1361,1380
194,Iceland,Saudi Arabia,0,1361,1380
195,Lichtenstein,Saudi Arabia,0,1361,1380
196,Norway,Saudi Arabia,0,1361,1380
197,Norway,Saudi Arabia,0,1361,1380
198,Austria,UAE,3,1361,24537
199,Belgium,UAE,3,1361,24537
200,Bulgaria,UAE,3,1361,24537
201,Croatia,UAE,3,1361,24537
202,Cyprus,UAE,3,1361,24537
203,Czech Republic,UAE,3,1361,24537
204,Denmark,UAE,3,1361,24537
205,Estonia,UAE,3,1361,24537
206,Finland,UAE,3,1361,24537
207,France,UAE,3,1361,24537
208,Germany,UAE,3,1361,24537
209,Greece,UAE,3,1361,24537
210,Hungary,UAE,3,1361,24537
211,Ireland,UAE,3,1361,24537
212,Italy,UAE,3,1361,24537
213,Latvia,UAE,3,1361,24537
214,Lithuania,UAE,3,1361,24537
215,Luxembourg,UAE,3,1361,24537
216,Malta,UAE,3,1361,24537
217,the Netherlands,UAE,3,1361,24537
218,Poland,UAE,3,1361,24537
219,Portugal,UAE,3,1361,24537
220,Romania,UAE,3,1361,24537
221,Slovakia,UAE,3,1361,24537
222,Slovenia,UAE,3,1361,24537
223,Spain,UAE,3,1361,24537
224,Sweden,UAE,3,1361,24537
225,UK,UAE,3,1361,24537
226,Iceland,UAE,3,1361,24537
227,Lichtenstein,UAE,3,1361,24537
228,Norway,UAE,3,1361,24537
229,Norway,UAE,3,1361,24537
230,India,Iraq,0,20,21
231,India,Pakistan,0,20,598
232,India,Russia,1,20,5184
233,India,Saudi Arabia,0,20,1380
234,India,UAE,9,20,24537
235,Iraq,Pakistan,0,21,598
236,Iraq,Russia,0,21,5184
237,Iraq,Saudi Arabia,0,21,1380
238,Iraq,UAE,2,21,24537
239,Pakistan,Russia,3,598,5184
240,Pakistan,Saudi Arabia,3,598,1380
241,Pakistan,UAE,63,598,24537
242,Russia,Saudi Arabia,3,5184,1380
243,Russia,UAE,25,5184,24537
244,Saudi Arabia,UAE,41,1380,24537
